Date,Lbs ,Oz,Scale reading
4/28/2026,13,1,13.00
4/30/2026,13,2,13.20
5/2/2026,13,2,13.20
5/4/2026,13,2,13.20
5/6/2026,13,5,13.40
5/8/2026,13,8,13.60
5/10/2026,13,8,13.60
5/12/2026,13,8,13.60
5/14/2026,13,5,13.40
5/16/2026,13,8,13.60
5/18/2026,13,8,13.60
5/20/2026,13,8,13.60
5/22/2026,13,15,14.00
5/24/2026,13,15,14.00
5/28/2026,13,12,13.80
6/5/2026,14,0,14.00
6/29/2026,,,
6/30/2026,13,10,13.63
7/2/2026,13,13,13.81
7/6/2026,13,15,13.94
7/8/2026,14,0,14.00
7/10/2026,13,15,13.94
7/12/2026,14,2,14.13
7/14/2026,14,3,14.19
7/16/2026,14,3.5,14.22
7/20/2026,14,6,14.38
7/25/2026,14,7.5,14.47
7/28/2026,14,9,14.56
7/30/2026,14,11.5,14.72
8/4/2026,14,13.5,14.84
8/10/2026,14,13.5,14.84
8/12/2026,15,0,15.00
8/15/2026,14,15.5,14.97
8/20/2026,15,4.5,15.28
