Date,Lbs ,Oz,Scale reading
04-28-26,13,1,13
04-30-26,13,2,13.2
05-02-26,13,2,13.2
05-04-26,13,2,13.2
5-6-26,13,5,13.4
5-8-26,13,8,13.6
5-10-26,13,8,13.6
5-12-26,13,8,13.6
5-14-26,13,5,13.4
5-16-26,13,8,13.6
5-18,13,8,13.6
5-20-26,13,8,13.6
5-22-26,13,15,14
5-24-26,13,15,14
5-28-26,13,12,13.8
6-5-26,14,0,14
6-29-26,,,
6-30-26,13,10,13.625
7-2,13,13,13.8125
7-6,13,15,13.9375
7-8,14,0,14
7-10,13,15,13.9375
7-12,14,2,14.125
7-14,14,3,14.1875
7-16,14,3.5,14.21875
7/20,14,6,14.375
7/25,14,7.5,14.46875
7/28,14,9,14.5625
7/30,14,11.5,14.71875
8/4,14,13.5,14.84375
8/10,14,13.5,14.84375
8/12,15,0,15
